answer,num_guesses,won,guesses
cigar,3,True,raise trail cigar
rebut,3,True,raise ruler rebut
sissy,3,True,raise tipsy sissy
humph,3,True,raise mulch humph
awake,4,True,raise blade weave awake
blush,3,True,raise floss blush
focal,3,True,raise float focal
evade,3,True,raise blade evade
naval,3,True,raise tangy naval
serve,3,True,raise spree serve
heath,3,True,raise cleat heath
dwarf,4,True,raise adorn chard dwarf
model,4,True,raise betel dowel model
karma,4,True,raise party carol karma
stink,2,True,raise stink
grade,3,True,raise grace grade
quiet,3,True,raise edict quiet
bench,3,True,raise betel bench
abate,3,True,raise blade abate
feign,3,True,raise edict feign
major,4,True,raise party valor major
death,4,True,raise cleat heath death
fresh,3,True,raise cress fresh
crust,2,True,raise crust
stool,3,True,raise stunk stool
colon,3,True,raise mulch colon
abase,3,True,raise cease abase
marry,3,True,raise party marry
react,3,True,raise relay react
batty,3,True,raise tangy batty
pride,3,True,raise tripe pride
floss,2,True,raise floss
helix,3,True,raise linen helix
croak,3,True,raise adorn croak
staff,3,True,raise stalk staff
paper,3,True,raise taper paper
unfed,4,True,raise betel woven unfed
whelp,3,True,raise betel whelp
trawl,4,True,raise adorn tract trawl
outdo,4,True,raise mulch pudgy outdo
adobe,3,True,raise blade adobe
crazy,4,True,raise adorn tract crazy
sower,3,True,raise sheer sower
repay,3,True,raise relay repay
digit,4,True,raise pilot night digit
crate,3,True,raise grace crate
cluck,3,True,raise mulch cluck
spike,3,True,raise spine spike
mimic,4,True,raise pilot windy mimic
pound,3,True,raise mulch pound
maxim,3,True,raise panic maxim
linen,2,True,raise linen
unmet,3,True,raise betel unmet
flesh,3,True,raise chest flesh
booby,4,True,raise mulch goody booby
forth,3,True,raise court forth
first,2,True,raise first
stand,4,True,raise stalk staff stand
belly,3,True,raise betel belly
ivory,3,True,raise droit ivory
seedy,3,True,raise spelt seedy
print,2,True,raise print
yearn,3,True,raise alert yearn
drain,4,True,raise trail braid drain
bribe,4,True,raise tripe brine bribe
stout,3,True,raise stunk stout
panel,3,True,raise navel panel
crass,2,True,raise crass
flume,3,True,raise lunge flume
offal,3,True,raise float offal
agree,3,True,raise grace agree
error,3,True,raise deter error
swirl,3,True,raise shirk swirl
argue,3,True,raise grace argue
bleed,3,True,raise betel bleed
delta,3,True,raise cleat delta
flick,3,True,raise glint flick
totem,3,True,raise betel totem
wooer,4,True,raise deter cower wooer
front,3,True,raise court front
shrub,3,True,raise short shrub
parry,3,True,raise party parry
biome,3,True,raise binge biome
lapel,4,True,raise navel label lapel
start,3,True,raise strap start
greet,3,True,raise deter greet
goner,6,True,raise deter cower hover poker goner
golem,3,True,raise betel golem
lusty,3,True,raise stunk lusty
loopy,4,True,raise mulch blown loopy
round,3,True,raise ruddy round
audit,3,True,raise tidal audit
lying,3,True,raise glint lying
gamma,3,True,raise tangy gamma
labor,4,True,raise party valor labor
islet,2,True,raise islet
civic,5,True,raise pilot windy mimic civic
forge,3,True,raise trope forge
corny,3,True,raise court corny
moult,3,True,raise mulch moult
basic,2,True,raise basic
salad,4,True,raise salon sally salad
agate,4,True,raise blade weave agate
spicy,3,True,raise stink spicy
spray,3,True,raise strap spray
essay,3,True,raise steak essay
fjord,3,True,raise court fjord
spend,3,True,raise spelt spend
kebab,3,True,raise cleat kebab
guild,3,True,raise glint guild
aback,3,True,raise float aback
motor,4,True,raise court forth motor
alone,3,True,raise blade alone
hatch,4,True,raise tangy caput hatch
hyper,5,True,raise deter cower buyer hyper
thumb,3,True,raise mulch thumb
dowry,3,True,raise court dowry
ought,3,True,raise mulch ought
belch,4,True,raise betel belly belch
dutch,4,True,raise mulch butch dutch
pilot,2,True,raise pilot
tweed,3,True,raise betel tweed
comet,4,True,raise betel unmet comet
jaunt,3,True,raise tangy jaunt
enema,3,True,raise cleat enema
steed,3,True,raise spelt steed
abyss,3,True,raise slash abyss
growl,4,True,raise court prong growl
fling,3,True,raise glint fling
dozen,4,True,raise betel woven dozen
boozy,5,True,raise mulch goody booby boozy
erode,4,True,raise trope drove erode
world,4,True,raise court donor world
gouge,3,True,raise lunge gouge
click,4,True,raise glint flick click
briar,2,True,raise briar
great,3,True,raise alert great
altar,3,True,raise adorn altar
pulpy,4,True,raise mulch bully pulpy
blurt,3,True,raise court blurt
coast,3,True,raise slash coast
duchy,3,True,raise mulch duchy
groin,3,True,raise droit groin
fixer,4,True,raise diner liver fixer
group,4,True,raise court furor group
rogue,2,True,raise rogue
badly,4,True,raise tangy bawdy badly
smart,3,True,raise strap smart
pithy,3,True,raise pilot pithy
gaudy,3,True,raise tangy gaudy
chill,3,True,raise glint chill
heron,4,True,raise deter merry heron
vodka,4,True,raise float comma vodka
finer,3,True,raise diner finer
surer,4,True,raise sheer sower surer
radio,2,True,raise radio
rouge,3,True,raise rogue rouge
perch,5,True,raise deter merry heron perch
retch,3,True,raise ruler retch
wrote,3,True,raise trope wrote
clock,3,True,raise mulch clock
tilde,3,True,raise binge tilde
store,3,True,raise spree store
prove,3,True,raise trope prove
bring,3,True,raise print bring
solve,3,True,raise stone solve
cheat,3,True,raise cleat cheat
grime,4,True,raise tripe brine grime
exult,4,True,raise betel dwelt exult
usher,3,True,raise sheer usher
epoch,4,True,raise betel enjoy epoch
triad,3,True,raise briar triad
break,4,True,raise alert dream break
rhino,2,True,raise rhino
viral,3,True,raise trail viral
conic,3,True,raise pilot conic
masse,3,True,raise pause masse
sonic,3,True,raise stoic sonic
vital,3,True,raise tidal vital
trace,3,True,raise grace trace
using,3,True,raise stink using
peach,3,True,raise cleat peach
champ,4,True,raise float aback champ
baton,4,True,raise tangy jaunt baton
brake,4,True,raise grace drake brake
pluck,4,True,raise mulch cluck pluck
craze,4,True,raise grace crate craze
gripe,3,True,raise tripe gripe
weary,4,True,raise alert yearn weary
picky,3,True,raise pilot picky
acute,3,True,raise blade acute
ferry,4,True,raise deter merry ferry
aside,2,True,raise aside
tapir,2,True,raise tapir
troll,4,True,raise court throb troll
unify,3,True,raise glint unify
rebus,2,True,raise rebus
boost,3,True,raise floss boost
truss,3,True,raise crust truss
siege,2,True,raise siege
tiger,5,True,raise diner liver fixer tiger
banal,3,True,raise tangy banal
slump,3,True,raise stunk slump
crank,3,True,raise adorn crank
gorge,4,True,raise trope forge gorge
query,3,True,raise deter query
drink,4,True,raise print bring drink
favor,4,True,raise party valor favor
abbey,4,True,raise cleat beady abbey
tangy,2,True,raise tangy
panic,2,True,raise panic
solar,3,True,raise strap solar
shire,2,True,raise shire
proxy,4,True,raise court prong proxy
point,3,True,raise glint point
robot,3,True,raise ruddy robot
prick,4,True,raise print primo prick
wince,3,True,raise binge wince
crimp,3,True,raise print crimp
knoll,4,True,raise mulch blown knoll
sugar,4,True,raise strap solar sugar
whack,4,True,raise float aback whack
mount,3,True,raise mulch mount
perky,4,True,raise deter merry perky
could,3,True,raise mulch could
wrung,3,True,raise court wrung
light,3,True,raise pilot light
those,3,True,raise loose those
moist,3,True,raise hoist moist
shard,3,True,raise strap shard
pleat,3,True,raise cleat pleat
aloft,3,True,raise float aloft
skill,3,True,raise stink skill
elder,3,True,raise deter elder
frame,4,True,raise grace drake frame
humor,4,True,raise court furor humor
pause,2,True,raise pause
ulcer,4,True,raise deter cower ulcer
ultra,4,True,raise adorn chart ultra
robin,2,True,raise robin
cynic,3,True,raise pilot cynic
agora,3,True,raise adorn agora
aroma,3,True,raise adorn aroma
caulk,4,True,raise tangy macaw caulk
shake,4,True,raise slate spade shake
pupal,3,True,raise float pupal
dodge,4,True,raise lunge wedge dodge
swill,4,True,raise stink spicy swill
tacit,3,True,raise panic tacit
other,4,True,raise deter tuber other
thorn,3,True,raise court thorn
trove,3,True,raise trope trove
bloke,4,True,raise lunge clove bloke
vivid,4,True,raise pilot windy vivid
spill,4,True,raise stink spicy spill
chant,3,True,raise float chant
choke,4,True,raise lunge theme choke
rupee,3,True,raise rogue rupee
nasty,3,True,raise salon nasty
mourn,3,True,raise court mourn
ahead,3,True,raise cleat ahead
brine,3,True,raise tripe brine
cloth,3,True,raise mulch cloth
hoard,3,True,raise adorn hoard
sweet,3,True,raise spelt sweet
month,3,True,raise mulch month
lapse,3,True,raise pause lapse
watch,5,True,raise tangy caput hatch watch
today,3,True,raise float today
focus,4,True,raise stunk pushy focus
smelt,3,True,raise spelt smelt
tease,3,True,raise cease tease
cater,3,True,raise taper cater
movie,3,True,raise binge movie
lynch,3,True,raise mulch lynch
saute,3,True,raise caste saute
allow,3,True,raise float allow
renew,3,True,raise ruler renew
their,3,True,raise diner their
slosh,3,True,raise floss slosh
purge,3,True,raise trope purge
chest,2,True,raise chest
depot,4,True,raise betel depth depot
epoxy,4,True,raise betel enjoy epoxy
nymph,3,True,raise mulch nymph
found,4,True,raise mulch pound found
shall,4,True,raise stalk scald shall
harry,4,True,raise party marry harry
stove,3,True,raise stone stove
lowly,4,True,raise mulch blown lowly
snout,3,True,raise stunk snout
trope,2,True,raise trope
fewer,4,True,raise deter never fewer
shawl,3,True,raise stalk shawl
natal,5,True,raise tangy jaunt baton natal
fibre,2,True,raise fibre
comma,3,True,raise float comma
foray,4,True,raise adorn molar foray
scare,2,True,raise scare
stair,2,True,raise stair
black,3,True,raise float black
squad,3,True,raise stalk squad
royal,2,True,raise royal
chunk,3,True,raise mulch chunk
mince,4,True,raise binge wince mince
slave,3,True,raise slate slave
shame,5,True,raise slate spade shake shame
cheek,3,True,raise betel cheek
ample,3,True,raise blade ample
flair,3,True,raise trail flair
foyer,6,False,raise deter cower hover poker goner
cargo,4,True,raise party carol cargo
oxide,4,True,raise utile opine oxide
plant,3,True,raise float plant
olive,4,True,raise utile glide olive
inert,3,True,raise diner inert
askew,3,True,raise steak askew
heist,2,True,raise heist
shown,3,True,raise stunk shown
zesty,3,True,raise spelt zesty
hasty,3,True,raise salon hasty
trash,3,True,raise crass trash
