answer,num_guesses,won,guesses
cigar,3,True,raise trail cigar
rebut,3,True,raise ruler rebut
sissy,3,True,raise tipsy sissy
humph,3,True,raise mulch humph
awake,3,True,raise plant awake
blush,3,True,raise floss blush
focal,3,True,raise clout focal
evade,4,True,raise plant awake evade
naval,4,True,raise cyton banal naval
serve,3,True,raise spree serve
heath,3,True,raise tepal heath
dwarf,4,True,raise tronc award dwarf
model,3,True,raise denet model
karma,3,True,raise compt karma
stink,3,True,raise knelt stink
grade,4,True,raise bract drape grade
quiet,3,True,raise edict quiet
bench,3,True,raise denet bench
abate,3,True,raise plant abate
feign,3,True,raise edict feign
major,3,True,raise compt major
death,4,True,raise tepal heath death
fresh,3,True,raise cress fresh
crust,2,True,raise crust
stool,3,True,raise pluot stool
colon,3,True,raise mulch colon
abase,3,True,raise cease abase
marry,4,True,raise compt karma marry
react,3,True,raise relay react
batty,3,True,raise cyton batty
pride,3,True,raise tripe pride
floss,2,True,raise floss
helix,3,True,raise lined helix
croak,3,True,raise tronc croak
staff,4,True,raise clapt stand staff
paper,3,True,raise empty paper
unfed,3,True,raise denet unfed
whelp,3,True,raise denet whelp
trawl,3,True,raise tronc trawl
outdo,4,True,raise mulch pudgy outdo
adobe,3,True,raise plant adobe
crazy,4,True,raise tronc wrack crazy
sower,3,True,raise sheer sower
repay,3,True,raise relay repay
digit,4,True,raise ponty limit digit
crate,3,True,raise bract crate
cluck,3,True,raise mulch cluck
spike,3,True,raise spine spike
mimic,4,True,raise ponty civil mimic
pound,3,True,raise mulch pound
maxim,3,True,raise panic maxim
linen,3,True,raise lined linen
unmet,3,True,raise denet unmet
flesh,3,True,raise chest flesh
booby,4,True,raise mulch goody booby
forth,3,True,raise count forth
first,2,True,raise first
stand,3,True,raise clapt stand
belly,4,True,raise denet belch belly
ivory,3,True,raise glout ivory
seedy,3,True,raise spelt seedy
print,3,True,raise crypt print
yearn,3,True,raise blert yearn
drain,4,True,raise trail braid drain
bribe,4,True,raise tripe brine bribe
stout,3,True,raise pluot stout
panel,3,True,raise navel panel
crass,2,True,raise crass
flume,3,True,raise nould flume
offal,4,True,raise clout modal offal
agree,4,True,raise bract azure agree
error,3,True,raise deter error
swirl,3,True,raise shirk swirl
argue,3,True,raise bract argue
bleed,3,True,raise denet bleed
delta,3,True,raise tepal delta
flick,3,True,raise clint flick
totem,3,True,raise denet totem
wooer,4,True,raise deter womby wooer
front,3,True,raise count front
shrub,3,True,raise poynt shrub
parry,3,True,raise compt parry
biome,3,True,raise lingo biome
lapel,4,True,raise navel label lapel
start,3,True,raise clapt start
greet,3,True,raise deter greet
goner,6,True,raise deter womby cover poker goner
golem,4,True,raise denet vowel golem
lusty,3,True,raise pluot lusty
loopy,4,True,raise mulch blown loopy
round,3,True,raise ruddy round
audit,3,True,raise alant audit
lying,3,True,raise clint lying
gamma,3,True,raise cyton gamma
labor,3,True,raise compt labor
islet,2,True,raise islet
civic,4,True,raise ponty civil civic
forge,3,True,raise prong forge
corny,3,True,raise count corny
moult,3,True,raise mulch moult
basic,2,True,raise basic
salad,4,True,raise salon sally salad
agate,4,True,raise plant abate agate
spicy,3,True,raise knelt spicy
spray,3,True,raise clapt spray
essay,3,True,raise steak essay
fjord,4,True,raise count droop fjord
spend,3,True,raise spelt spend
kebab,4,True,raise tepal began kebab
guild,3,True,raise clint guild
aback,3,True,raise clout aback
motor,4,True,raise count forth motor
alone,3,True,raise plant alone
hatch,3,True,raise cyton hatch
hyper,4,True,raise deter womby hyper
thumb,3,True,raise mulch thumb
dowry,3,True,raise count dowry
ought,3,True,raise mulch ought
belch,3,True,raise denet belch
dutch,4,True,raise mulch butch dutch
pilot,3,True,raise ponty pilot
tweed,3,True,raise denet tweed
comet,3,True,raise denet comet
jaunt,3,True,raise cyton jaunt
enema,3,True,raise tepal enema
steed,3,True,raise spelt steed
abyss,3,True,raise shalt abyss
growl,4,True,raise count droop growl
fling,4,True,raise clint blink fling
dozen,3,True,raise denet dozen
boozy,5,True,raise mulch goody booby boozy
erode,4,True,raise prong trove erode
world,4,True,raise count dowry world
gouge,3,True,raise nould gouge
click,3,True,raise clint click
briar,2,True,raise briar
great,3,True,raise blert great
altar,3,True,raise tronc altar
pulpy,4,True,raise mulch bully pulpy
blurt,3,True,raise count blurt
coast,3,True,raise shalt coast
duchy,3,True,raise mulch duchy
groin,3,True,raise glout groin
fixer,4,True,raise lined tiger fixer
group,4,True,raise count furor group
rogue,2,True,raise rogue
badly,3,True,raise cyton badly
smart,4,True,raise clapt start smart
pithy,3,True,raise ponty pithy
gaudy,4,True,raise cyton badly gaudy
chill,3,True,raise clint chill
heron,4,True,raise deter merry heron
vodka,4,True,raise clout gonad vodka
finer,3,True,raise lined finer
surer,4,True,raise sheer sower surer
radio,2,True,raise radio
rouge,3,True,raise rogue rouge
perch,5,True,raise deter merry heron perch
retch,3,True,raise ruler retch
wrote,4,True,raise prong trove wrote
clock,3,True,raise mulch clock
tilde,3,True,raise lingo tilde
store,3,True,raise spree store
prove,3,True,raise prong prove
bring,4,True,raise crypt drink bring
solve,3,True,raise stone solve
cheat,3,True,raise tepal cheat
grime,4,True,raise tripe brine grime
exult,3,True,raise denet exult
usher,3,True,raise sheer usher
epoch,4,True,raise denet whelp epoch
triad,3,True,raise briar triad
break,3,True,raise blert break
rhino,2,True,raise rhino
viral,3,True,raise trail viral
conic,3,True,raise ponty conic
masse,3,True,raise pause masse
sonic,3,True,raise shout sonic
vital,3,True,raise alant vital
trace,3,True,raise bract trace
using,3,True,raise knelt using
peach,3,True,raise tepal peach
champ,3,True,raise clout champ
baton,3,True,raise cyton baton
brake,3,True,raise bract brake
pluck,4,True,raise mulch cluck pluck
craze,3,True,raise bract craze
gripe,3,True,raise tripe gripe
weary,4,True,raise blert yearn weary
picky,3,True,raise ponty picky
acute,3,True,raise plant acute
ferry,4,True,raise deter merry ferry
aside,2,True,raise aside
tapir,2,True,raise tapir
troll,4,True,raise count throb troll
unify,3,True,raise clint unify
rebus,2,True,raise rebus
boost,3,True,raise floss boost
truss,3,True,raise crust truss
siege,2,True,raise siege
tiger,3,True,raise lined tiger
banal,3,True,raise cyton banal
slump,3,True,raise pluot slump
crank,3,True,raise tronc crank
gorge,4,True,raise prong forge gorge
query,3,True,raise deter query
drink,3,True,raise crypt drink
favor,4,True,raise compt labor favor
abbey,4,True,raise tepal enema abbey
tangy,3,True,raise cyton tangy
panic,2,True,raise panic
solar,3,True,raise clapt solar
shire,2,True,raise shire
proxy,4,True,raise count droop proxy
point,3,True,raise clint point
robot,3,True,raise ruddy robot
prick,3,True,raise crypt prick
wince,3,True,raise lingo wince
crimp,3,True,raise crypt crimp
knoll,4,True,raise mulch blown knoll
sugar,3,True,raise clapt sugar
whack,4,True,raise clout aback whack
mount,3,True,raise mulch mount
perky,4,True,raise deter merry perky
could,3,True,raise mulch could
wrung,3,True,raise count wrung
light,4,True,raise ponty limit light
those,3,True,raise loose those
moist,3,True,raise hoist moist
shard,3,True,raise clapt shard
pleat,3,True,raise tepal pleat
aloft,3,True,raise clout aloft
skill,3,True,raise knelt skill
elder,3,True,raise deter elder
frame,5,True,raise bract drape grave frame
humor,4,True,raise count furor humor
pause,2,True,raise pause
ulcer,4,True,raise deter womby ulcer
ultra,4,True,raise tronc altar ultra
robin,2,True,raise robin
cynic,3,True,raise ponty cynic
agora,3,True,raise tronc agora
aroma,3,True,raise tronc aroma
caulk,3,True,raise cyton caulk
shake,4,True,raise slate spade shake
pupal,3,True,raise clout pupal
dodge,3,True,raise nould dodge
swill,3,True,raise knelt swill
tacit,3,True,raise panic tacit
other,4,True,raise deter tuber other
thorn,3,True,raise count thorn
trove,3,True,raise prong trove
bloke,4,True,raise nould glove bloke
vivid,4,True,raise ponty civil vivid
spill,4,True,raise knelt swill spill
chant,3,True,raise clout chant
choke,3,True,raise nould choke
rupee,3,True,raise rogue rupee
nasty,3,True,raise salon nasty
mourn,3,True,raise count mourn
ahead,3,True,raise tepal ahead
brine,3,True,raise tripe brine
cloth,3,True,raise mulch cloth
hoard,4,True,raise tronc borax hoard
sweet,3,True,raise spelt sweet
month,3,True,raise mulch month
lapse,3,True,raise pause lapse
watch,4,True,raise cyton hatch watch
today,3,True,raise clout today
focus,3,True,raise pluot focus
smelt,3,True,raise spelt smelt
tease,3,True,raise cease tease
cater,3,True,raise empty cater
movie,3,True,raise lingo movie
lynch,3,True,raise mulch lynch
saute,3,True,raise caste saute
allow,3,True,raise clout allow
renew,3,True,raise ruler renew
their,3,True,raise lined their
slosh,3,True,raise floss slosh
purge,3,True,raise prong purge
chest,2,True,raise chest
depot,3,True,raise denet depot
epoxy,4,True,raise denet whelp epoxy
nymph,3,True,raise mulch nymph
found,4,True,raise mulch pound found
shall,3,True,raise clapt shall
harry,3,True,raise compt harry
stove,3,True,raise stone stove
lowly,4,True,raise mulch blown lowly
snout,4,True,raise pluot stout snout
trope,3,True,raise prong trope
fewer,4,True,raise deter never fewer
shawl,4,True,raise clapt shall shawl
natal,3,True,raise cyton natal
fibre,2,True,raise fibre
comma,3,True,raise clout comma
foray,4,True,raise tronc borax foray
scare,2,True,raise scare
stair,2,True,raise stair
black,3,True,raise clout black
squad,3,True,raise clapt squad
royal,2,True,raise royal
chunk,3,True,raise mulch chunk
mince,4,True,raise lingo wince mince
slave,3,True,raise slate slave
shame,5,True,raise slate spade shake shame
cheek,3,True,raise denet cheek
ample,3,True,raise plant ample
flair,3,True,raise trail flair
foyer,4,True,raise deter womby foyer
cargo,3,True,raise compt cargo
oxide,4,True,raise cloth opine oxide
plant,3,True,raise clout plant
olive,3,True,raise cloth olive
inert,3,True,raise lined inert
askew,3,True,raise steak askew
heist,2,True,raise heist
shown,4,True,raise pluot showy shown
zesty,3,True,raise spelt zesty
hasty,3,True,raise salon hasty
